,Time,Q1,Q2,T1,T2
0,0,0.0,0.0,19.93,19.25
1,1,0.0,0.0,19.93,19.29
2,2,0.0,0.0,19.96,19.29
3,3,0.0,0.0,19.93,19.29
4,4,0.0,0.0,19.93,19.29
5,5,0.0,0.0,19.93,19.29
6,6,0.0,0.0,19.93,19.25
7,7,0.0,0.0,19.93,19.29
8,8,0.0,0.0,19.93,19.29
9,9,0.0,0.0,19.93,19.25
10,10,80.0,0.0,19.96,19.25
11,11,80.0,0.0,20.06,19.29
12,12,80.0,0.0,20.06,19.22
13,13,80.0,0.0,20.12,19.06
14,14,80.0,0.0,20.22,19.29
15,15,80.0,0.0,20.25,19.29
16,16,80.0,0.0,20.35,19.25
17,17,80.0,0.0,20.58,19.22
18,18,80.0,0.0,20.61,19.25
19,19,80.0,0.0,20.9,19.29
20,20,80.0,0.0,20.96,19.19
21,21,80.0,0.0,21.25,19.29
22,22,80.0,0.0,21.54,19.29
23,23,80.0,0.0,21.83,19.25
24,24,80.0,0.0,22.03,19.09
25,25,80.0,0.0,22.19,19.19
26,26,80.0,0.0,22.45,19.25
27,27,80.0,0.0,22.83,19.22
28,28,80.0,0.0,23.15,19.22
29,29,80.0,0.0,23.48,19.29
30,30,80.0,0.0,23.73,19.29
31,31,80.0,0.0,24.02,19.25
32,32,80.0,0.0,24.41,19.29
33,33,80.0,0.0,24.64,19.29
34,34,80.0,0.0,25.09,19.25
35,35,80.0,0.0,25.41,19.29
36,36,80.0,0.0,25.73,19.22
37,37,80.0,0.0,26.05,19.25
38,38,80.0,0.0,26.38,19.25
39,39,80.0,0.0,26.7,19.29
40,40,80.0,0.0,27.02,19.29
41,41,80.0,0.0,27.31,19.29
42,42,80.0,0.0,27.67,19.29
43,43,80.0,0.0,27.99,19.29
44,44,80.0,0.0,28.31,19.29
45,45,80.0,0.0,28.63,19.29
46,46,80.0,0.0,28.99,19.29
47,47,80.0,0.0,29.28,19.29
48,48,80.0,0.0,29.63,19.29
49,49,80.0,0.0,29.95,19.29
50,50,80.0,0.0,30.28,19.38
51,51,80.0,0.0,30.73,19.38
52,52,80.0,0.0,31.08,19.54
53,53,80.0,0.0,31.53,19.51
54,54,80.0,0.0,31.86,19.54
55,55,80.0,0.0,32.18,19.61
56,56,80.0,0.0,32.5,19.61
57,57,80.0,0.0,32.82,19.32
58,58,80.0,0.0,33.14,19.61
59,59,80.0,0.0,33.47,19.64
60,60,80.0,0.0,33.79,19.61
61,61,80.0,0.0,34.11,19.61
62,62,80.0,0.0,34.47,19.67
63,63,80.0,0.0,34.79,19.71
64,64,80.0,0.0,35.34,19.87
65,65,80.0,0.0,35.72,19.93
66,66,80.0,0.0,36.01,19.93
67,67,80.0,0.0,36.37,19.9
68,68,80.0,0.0,36.69,19.87
69,69,80.0,0.0,37.01,19.93
70,70,80.0,0.0,37.37,19.93
71,71,80.0,0.0,37.66,19.93
72,72,80.0,0.0,37.98,19.96
73,73,80.0,0.0,38.3,20.12
74,74,80.0,0.0,38.62,20.16
75,75,80.0,0.0,38.95,20.19
76,76,80.0,0.0,39.27,20.25
77,77,80.0,0.0,39.59,20.38
78,78,80.0,0.0,39.91,20.25
79,79,80.0,0.0,40.23,20.25
80,80,80.0,0.0,40.56,20.25
81,81,80.0,0.0,40.88,20.42
82,82,80.0,0.0,41.2,20.45
83,83,80.0,0.0,41.52,20.48
84,84,80.0,0.0,41.85,20.58
85,85,80.0,0.0,42.17,20.54
86,86,80.0,0.0,42.49,20.61
87,87,80.0,0.0,42.81,20.58
88,88,80.0,0.0,43.13,20.58
89,89,80.0,0.0,43.33,20.64
90,90,80.0,0.0,43.52,20.83
91,91,80.0,0.0,43.78,20.9
92,92,80.0,0.0,44.13,20.87
93,93,80.0,0.0,44.42,20.9
94,94,80.0,0.0,44.75,20.9
95,95,80.0,0.0,45.04,20.9
96,96,80.0,0.0,45.39,20.9
97,97,80.0,0.0,45.68,21.16
98,98,80.0,0.0,46.04,21.25
99,99,80.0,0.0,46.36,21.22
100,100,80.0,0.0,46.65,21.22
101,101,80.0,0.0,46.94,21.22
102,102,80.0,0.0,47.2,21.22
103,103,80.0,0.0,47.39,21.25
104,104,80.0,0.0,47.65,21.45
105,105,80.0,0.0,47.97,21.48
106,106,80.0,0.0,48.29,21.64
107,107,80.0,0.0,48.45,21.54
108,108,80.0,0.0,48.65,21.54
109,109,80.0,0.0,48.94,21.58
110,110,80.0,0.0,49.26,21.7
111,111,80.0,0.0,49.55,21.83
112,112,80.0,0.0,49.77,21.87
113,113,80.0,0.0,49.9,21.87
114,114,80.0,0.0,50.22,21.87
115,115,80.0,0.0,50.55,21.87
116,116,80.0,0.0,50.87,21.99
117,117,80.0,0.0,51.16,22.16
118,118,80.0,0.0,51.45,22.19
119,119,80.0,0.0,51.67,22.19
120,120,80.0,100.0,51.9,22.7
121,121,80.0,100.0,52.16,22.45
122,122,80.0,100.0,52.48,22.61
123,123,80.0,100.0,52.77,22.67
124,124,80.0,100.0,52.87,22.96
125,125,80.0,100.0,53.13,22.9
126,126,80.0,100.0,53.45,23.19
127,127,80.0,100.0,53.71,23.44
128,128,80.0,100.0,53.83,23.48
129,129,80.0,100.0,54.12,23.64
130,130,80.0,100.0,54.41,23.93
131,131,80.0,100.0,54.74,23.73
132,132,80.0,100.0,54.93,24.12
133,133,80.0,100.0,55.09,24.57
134,134,80.0,100.0,55.38,24.38
135,135,80.0,100.0,55.7,24.64
136,136,80.0,100.0,55.93,25.09
137,137,80.0,100.0,56.03,25.38
138,138,80.0,100.0,56.35,25.73
139,139,80.0,100.0,56.67,25.8
140,140,80.0,100.0,56.96,26.34
141,141,80.0,100.0,56.99,26.44
142,142,80.0,100.0,57.31,26.6
143,143,80.0,100.0,57.57,27.05
144,144,80.0,100.0,57.64,27.12
145,145,80.0,100.0,57.96,27.38
146,146,80.0,100.0,58.22,27.6
147,147,80.0,100.0,58.31,27.67
148,148,80.0,100.0,58.6,27.92
149,149,80.0,100.0,58.8,28.63
150,150,80.0,100.0,58.93,28.89
151,151,80.0,100.0,59.25,28.79
152,152,80.0,100.0,59.44,29.47
153,153,80.0,100.0,59.6,29.47
154,154,80.0,100.0,59.92,29.79
155,155,80.0,100.0,60.21,30.21
156,156,80.0,100.0,60.31,30.34
157,157,80.0,100.0,60.54,30.73
158,158,80.0,100.0,60.79,31.05
159,159,80.0,100.0,60.86,31.11
160,160,80.0,100.0,61.18,31.53
161,161,80.0,100.0,61.28,31.47
162,162,80.0,100.0,61.5,32.18
163,163,80.0,100.0,61.73,32.47
164,164,80.0,100.0,61.89,32.69
165,165,80.0,100.0,62.15,33.02
166,166,80.0,100.0,62.15,32.76
167,167,80.0,100.0,62.47,33.47
168,168,80.0,100.0,62.66,33.53
169,169,80.0,100.0,62.79,33.82
170,170,80.0,100.0,63.12,34.14
171,171,80.0,100.0,63.41,34.66
172,172,80.0,100.0,63.44,34.82
173,173,80.0,100.0,63.73,34.95
174,174,80.0,100.0,63.82,34.98
175,175,80.0,100.0,64.08,35.43
176,176,80.0,100.0,64.15,35.88
177,177,80.0,100.0,64.4,36.04
178,178,80.0,100.0,64.66,36.24
179,179,80.0,100.0,64.73,36.56
180,180,80.0,100.0,65.05,37.01
181,181,80.0,100.0,65.05,37.33
182,182,80.0,100.0,65.37,37.4
183,183,80.0,100.0,65.69,37.43
184,184,80.0,100.0,65.69,37.59
185,185,80.0,100.0,65.95,38.3
186,186,80.0,100.0,66.02,38.14
187,187,80.0,100.0,66.34,38.37
188,188,80.0,100.0,66.34,38.69
189,189,80.0,100.0,66.66,39.01
190,190,80.0,100.0,66.79,39.11
191,191,80.0,100.0,66.98,39.59
192,192,80.0,100.0,67.05,39.53
193,193,80.0,100.0,67.3,40.01
194,194,80.0,100.0,67.59,40.07
195,195,80.0,100.0,67.66,40.62
196,196,80.0,100.0,67.95,40.75
197,197,80.0,100.0,68.05,40.81
198,198,80.0,100.0,68.27,41.2
199,199,80.0,100.0,68.3,41.23
200,200,20.0,100.0,68.59,41.85
201,201,20.0,100.0,68.59,41.91
202,202,20.0,100.0,68.66,42.14
203,203,20.0,100.0,68.92,42.23
204,204,20.0,100.0,68.95,42.62
205,205,20.0,100.0,69.24,42.88
206,206,20.0,100.0,69.24,42.88
207,207,20.0,100.0,69.27,43.46
208,208,20.0,100.0,69.46,43.39
209,209,20.0,100.0,69.56,43.78
210,210,20.0,100.0,69.56,43.68
211,211,20.0,100.0,69.56,44.0
212,212,20.0,100.0,69.56,44.42
213,213,20.0,100.0,69.56,44.42
214,214,20.0,100.0,69.56,44.71
215,215,20.0,100.0,69.33,45.07
216,216,20.0,100.0,69.27,44.97
217,217,20.0,100.0,69.24,45.0
218,218,20.0,100.0,69.24,45.71
219,219,20.0,100.0,69.24,45.78
220,220,20.0,100.0,69.24,46.04
221,221,20.0,100.0,69.14,46.33
222,222,20.0,100.0,68.92,46.58
223,223,20.0,100.0,68.92,46.68
224,224,20.0,100.0,68.92,46.87
225,225,20.0,100.0,68.69,47.23
226,226,20.0,100.0,68.59,47.0
227,227,20.0,100.0,68.59,47.49
228,228,20.0,100.0,68.34,47.52
229,229,20.0,100.0,68.27,48.0
230,230,20.0,100.0,68.08,48.29
231,231,20.0,100.0,67.95,48.42
232,232,20.0,100.0,67.95,48.48
233,233,20.0,100.0,67.72,48.65
234,234,20.0,100.0,67.63,48.58
235,235,20.0,100.0,67.63,48.84
236,236,20.0,100.0,67.3,49.35
237,237,20.0,100.0,67.3,49.29
238,238,20.0,100.0,67.18,49.42
239,239,20.0,100.0,66.98,49.9
240,240,20.0,100.0,66.95,49.84
241,241,20.0,100.0,66.66,50.13
242,242,20.0,100.0,66.66,50.32
243,243,20.0,100.0,66.34,50.61
244,244,20.0,100.0,66.34,50.39
245,245,20.0,100.0,66.34,50.77
246,246,20.0,100.0,66.02,51.09
247,247,20.0,100.0,66.02,51.35
248,248,20.0,100.0,65.85,51.38
249,249,20.0,100.0,65.69,51.67
250,250,20.0,100.0,65.69,51.58
251,251,20.0,100.0,65.56,51.71
252,252,20.0,100.0,65.37,52.13
253,253,20.0,100.0,65.34,52.22
254,254,20.0,100.0,65.11,52.38
255,255,20.0,100.0,65.05,52.29
256,256,20.0,100.0,64.73,52.35
257,257,20.0,100.0,64.73,52.8
258,258,20.0,100.0,64.6,52.93
259,259,20.0,100.0,64.4,53.09
260,260,20.0,100.0,64.4,52.93
261,261,20.0,100.0,64.15,53.19
262,262,20.0,100.0,64.08,53.19
263,263,20.0,100.0,64.08,53.51
264,264,20.0,100.0,63.79,53.61
265,265,20.0,100.0,63.76,53.77
266,266,20.0,100.0,63.76,53.8
267,267,20.0,100.0,63.5,54.09
268,268,20.0,100.0,63.44,53.96
269,269,20.0,100.0,63.31,54.48
270,270,20.0,100.0,63.12,54.25
271,271,20.0,100.0,63.08,54.48
272,272,20.0,100.0,62.79,54.48
273,273,20.0,100.0,62.79,54.54
274,274,20.0,100.0,62.57,55.03
275,275,20.0,100.0,62.47,55.12
276,276,20.0,100.0,62.47,54.74
277,277,20.0,100.0,62.31,55.25
278,278,20.0,100.0,62.15,55.12
279,279,20.0,100.0,62.15,55.16
280,280,70.0,100.0,61.89,55.7
281,281,70.0,100.0,61.83,55.86
282,282,70.0,100.0,61.76,55.83
283,283,70.0,100.0,61.6,55.93
284,284,70.0,100.0,61.54,55.93
285,285,70.0,100.0,61.5,55.96
286,286,70.0,100.0,61.47,56.09
287,287,70.0,100.0,61.47,56.09
288,288,70.0,100.0,61.5,56.38
289,289,70.0,100.0,61.5,56.77
290,290,70.0,100.0,61.5,56.7
291,291,70.0,100.0,61.5,57.09
292,292,70.0,100.0,61.5,57.22
293,293,70.0,100.0,61.57,57.22
294,294,70.0,100.0,61.6,57.31
295,295,70.0,100.0,61.83,57.41
296,296,70.0,100.0,61.79,57.48
297,297,70.0,100.0,61.83,57.67
298,298,70.0,100.0,61.89,57.51
299,299,70.0,100.0,62.02,57.8
300,300,70.0,100.0,62.15,57.86
301,301,70.0,100.0,62.15,57.8
302,302,70.0,100.0,62.15,58.15
303,303,70.0,100.0,62.47,57.93
304,304,70.0,100.0,62.47,58.28
305,305,70.0,100.0,62.79,58.47
306,306,70.0,100.0,62.79,58.6
307,307,70.0,100.0,62.83,58.51
308,308,70.0,100.0,63.12,58.86
309,309,70.0,100.0,63.12,58.93
310,310,70.0,100.0,63.28,58.96
311,311,70.0,100.0,63.44,59.05
312,312,70.0,100.0,63.44,59.15
313,313,70.0,100.0,63.76,59.02
314,314,70.0,100.0,63.76,59.09
315,315,70.0,100.0,64.05,59.38
316,316,70.0,100.0,64.08,59.34
317,317,70.0,100.0,64.4,59.67
318,318,70.0,100.0,64.4,59.73
319,319,70.0,100.0,64.47,59.63
320,320,70.0,10.0,64.69,59.25
321,321,70.0,10.0,64.73,59.41
322,322,70.0,10.0,64.92,59.54
323,323,70.0,10.0,65.02,59.67
324,324,70.0,10.0,65.11,59.44
325,325,70.0,10.0,65.37,59.7
326,326,70.0,10.0,65.4,59.57
327,327,70.0,10.0,65.69,59.7
328,328,70.0,10.0,65.69,59.57
