Time,Q1,Q2,T1,T2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.925000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.928999999999999915e+01
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.996000000000000085e+01,1.928999999999999915e+01
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.928999999999999915e+01
4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.928999999999999915e+01
5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.928999999999999915e+01
6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.925000000000000000e+01
7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.928999999999999915e+01
8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.928999999999999915e+01
9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992999999999999972e+01,1.925000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+01,8.000000000000000000e+01,0.000000000000000000e+00,1.996000000000000085e+01,1.925000000000000000e+01
1.100000000000000000e+01,1.100000000000000000e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.005999999999999872e+01,1.928999999999999915e+01
1.200000000000000000e+01,1.200000000000000000e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.005999999999999872e+01,1.921999999999999886e+01
1.300000000000000000e+01,1.300000000000000000e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.012000000000000099e+01,1.905999999999999872e+01
